#,单词,音标,解释,笔记
0,"a bit longer","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
1,"a host of","","大量，许多, 一大群",
2,"abide","英:/ə'baɪd/ 美:/ə'baɪd/","abide
  [abided, abided, abiding]
 abide by 
     abide by sth formal to obey or agree to accept a rule, law, agreement, or decision:
   ▪ The President has to abide by the same rules and laws as everyone else.
   ▪ Both countries have shown their willingness to abide by the peace agreement.
   ▪ Tyson promised to abide by the terms and conditions of his release.
   ■ SIMILAR TO: observe  formal, ↑stick to, ↑keep to  BrE",
3,"abide by","","abide by
     abide by sth formal to obey or agree to accept a rule, law, agreement, or decision:
   ▪ The President has to abide by the same rules and laws as everyone else.
   ▪ Both countries have shown their willingness to abide by the peace agreement.
   ▪ Tyson promised to abide by the terms and conditions of his release.
   ■ SIMILAR TO: observe  formal, ↑stick to, ↑keep to  BrE",
4,"abrupt","英:/ə'brʌpt/ 美:/ə'brʌpt/","adj. 突然的；唐突的；陡峭的；生硬的


副 词:  
abruptly

名 词:  
abruptness",
5,"abstract","英:/'æbstrækt,æb'strækt/ 美:/'æbstrækt, æb'strækt/","- n. 抽象；摘要；抽象的概念
- adj. 抽象的；深奥的
- vt. 提取；摘要；使……抽象化
- vi. 做摘要；写梗概


时 态:  
abstracted, abstracting, abstracts  

副 词:  
abstractly",
6,"abstraction","英:/əb'strækʃ(ə)n/ 美:/æb'strækʃən/","- n. 抽象,抽取
- 抽象化；抽象过程
- 抽象概念；抽象名称
- 抽象性，抽象的特征
- 出神；心不在焉
- 不切实际的想法，空想；幻想的事物
- (艺术上的)抽象主义
- 抽象，抽离；抽离运符
- 偷窃",
7,"accompany","英:/ə'kʌmpənɪ/ 美:/ə'kʌmpəni/","- vt. 陪伴, 陪同
- 伴随…同时发生
- 伴奏

时 态:  
accompanied, accompanying, accompanies",
8,"accretion","英:/ə'kriːʃ(ə)n/ 美:/ə'kriʃən/","- n. 堆积,积累
- 添加生长，自然增长
- 增加部分；附加
- 增加的结果，积成的整体
- 连生；合生；共生
- 粘连
- 冲积层
- 吸积
- 添附(指土地的自然增长)；(因共同继承人或受遗赠人放弃而)多分得的遗产",
9,"acknowledge","英:/ək'nɒlɪdʒ/ 美:/ək'nɑlɪdʒ/","- vt. 承认, 供认
- 告知已收到
- 鸣谢, 感谢

时 态:  
acknowledged, acknowledging, acknowledges 
缩 写:  
ack",
10,"addendum","英:/ə'dendəm/ 美:/ə'dɛndəm/","- n. 附加物
- 补遗,补编；附录
- (齿轮的)齿顶(高)",
11,"addictive","英:/ə'dɪktɪv/ 美:/ə'dɪktɪv/","- adj. 使成瘾的, 上瘾的
- (使人)入迷的，醉心的",
12,"adhere to","","adhere to
  1.   adhere to sth formal to obey a law, rule, or agreement:
   ▪ Visitors should adhere to all local driving regulations.
   ▪ countries which adhere to Islamic law
   ▪ Both parties must adhere to the terms of the contract.
   ■ SIMILAR TO: obey, ↑keep to, ↑abide by  formal
  2.   adhere to sth formal to believe that an idea or opinion is true or right:
   ▪ Some people still adhere to the view that homosexuality is somehow morally wrong.
   ▪ Both he and Marx adhered to a similar philosophy.",
13,"adiabatic","英:/ˌeɪdaɪə'bætɪk/ 美:/ˌædɪə'bætɪk/","adj. 绝热的,隔热的

副 词:  
adiabatically",
14,"adjunct","英:/'ædʒʌŋ(k)t/ 美:/'ædʒʌŋkt/","- n. 附件,助手
- adj. 附属的

名 词:  
adjunction

形容词:  
adjunctive",
