单词,解释
a bit longer,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
a host of,"大量，许多, 一大群"
abide,"abide
  [abided, abided, abiding]
 abide by 
     abide by sth formal to obey or agree to accept a rule, law, agreement, or decision:
   ▪ The President has to abide by the same rules and laws as everyone else.
   ▪ Both countries have shown their willingness to abide by the peace agreement.
   ▪ Tyson promised to abide by the terms and conditions of his release.
   ■ SIMILAR TO: observe  formal, ↑stick to, ↑keep to  BrE"
abide by,"abide by
     abide by sth formal to obey or agree to accept a rule, law, agreement, or decision:
   ▪ The President has to abide by the same rules and laws as everyone else.
   ▪ Both countries have shown their willingness to abide by the peace agreement.
   ▪ Tyson promised to abide by the terms and conditions of his release.
   ■ SIMILAR TO: observe  formal, ↑stick to, ↑keep to  BrE"
abrupt,"adj. 突然的；唐突的；陡峭的；生硬的


副 词:  
abruptly

名 词:  
abruptness"
abstract,"- n. 抽象；摘要；抽象的概念
- adj. 抽象的；深奥的
- vt. 提取；摘要；使……抽象化
- vi. 做摘要；写梗概


时 态:  
abstracted, abstracting, abstracts  

副 词:  
abstractly"
abstraction,"- n. 抽象,抽取
- 抽象化；抽象过程
- 抽象概念；抽象名称
- 抽象性，抽象的特征
- 出神；心不在焉
- 不切实际的想法，空想；幻想的事物
- (艺术上的)抽象主义
- 抽象，抽离；抽离运符
- 偷窃"
accompany,"- vt. 陪伴, 陪同
- 伴随…同时发生
- 伴奏

时 态:  
accompanied, accompanying, accompanies"
accretion,"- n. 堆积,积累
- 添加生长，自然增长
- 增加部分；附加
- 增加的结果，积成的整体
- 连生；合生；共生
- 粘连
- 冲积层
- 吸积
- 添附(指土地的自然增长)；(因共同继承人或受遗赠人放弃而)多分得的遗产"
acknowledge,"- vt. 承认, 供认
- 告知已收到
- 鸣谢, 感谢

时 态:  
acknowledged, acknowledging, acknowledges 
缩 写:  
ack"
addendum,"- n. 附加物
- 补遗,补编；附录
- (齿轮的)齿顶(高)"
addictive,"- adj. 使成瘾的, 上瘾的
- (使人)入迷的，醉心的"
adhere to,"adhere to
  1.   adhere to sth formal to obey a law, rule, or agreement:
   ▪ Visitors should adhere to all local driving regulations.
   ▪ countries which adhere to Islamic law
   ▪ Both parties must adhere to the terms of the contract.
   ■ SIMILAR TO: obey, ↑keep to, ↑abide by  formal
  2.   adhere to sth formal to believe that an idea or opinion is true or right:
   ▪ Some people still adhere to the view that homosexuality is somehow morally wrong.
   ▪ Both he and Marx adhered to a similar philosophy."
adiabatic,"adj. 绝热的,隔热的

副 词:  
adiabatically"
adjunct,"- n. 附件,助手
- adj. 附属的

名 词:  
adjunction

形容词:  
adjunctive"
admit,"admit
  [admitted, admitted, admitting]
 admit of 
     admit of sth formal to make it possible for something to be allowed or accepted:
   ▪ The present law admits of no exceptions.
   ▪ The facts of the case admit of only one possible verdict.
   ■ SIMILAR TO: ↑allow
 admit to 
     admit to sth to say that you have done something wrong, especially something criminal, or say that you have a feeling which you feel embarrassed about:
   ▪ I think he feels sorry for what happened, even though he's not willing to admit to it.
   admit to doing sth
   ▪ Campbell was sent to prison after admitting to spying for the KGB.
   ▪ Tony once admitted to drinking up to a bottle of whisky a day.
   ■ SIMILAR TO: ↑confess"
adopt,"- vt. 收养
- 采用, 采纳, 采取
- 正式接受, 通过

时 态:  
adopted, adopting, adopts 

形容词:  
adoptable

名 词:  
adopter

名 词:  
adoption"
adopted,"- adj. 被收养的；被采用的
- v. 采用；接受（adopt的过去式和过去分词）"
adversary,"n. 对手, 敌手"
adversetrend,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
aerial,"- adj. 空气的, 空中的
- 存在或悬浮于空中的, 架空的
- n. 天线"
aesthetic,"- adj. 有关美的, 美学的
- 审美的
- 悦目的, 雅致的

副 词:  
aesthetically"
aetiology,"n. 原因之说明,原因论,病原"
affluent,"- adj. 富裕的；丰富的；流畅的
- n. 支流；富人


副 词:  
affluently"
affront,"- vt. 公开侮辱；冒犯，有意冒犯；面对
- n. 轻蔑；公开侮辱


时 态:  
affronted, affronting, affronts"
aficionados,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
agitated,"- adj. 激动的；焦虑的；表现不安的
- v. 焦虑；鼓动（agitate的过去分词）"
ailing,"- adj. 生病的，身体不舒服的；体衰的
- v. 生病；苦恼（ail的ing形式）"
airy,"- adj. 空气的；大气的
- 空中的；高耸入云的
- 通风的，空气新鲜的
- 虚幻的；出于空想的
- 轻而薄的
- 轻快的；优美的
- 快活的；欢乐的
- 做作的；高傲的
- 轻率的

比较级:  
airier，airiest 

副 词:  
airily

名 词:  
airiness"
akin,adj. 同族的；同类的；类似的
