#,单词,音标,解释,笔记
0,"a bit longer","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
1,"a host of","","大量，许多, 一大群",
2,"abide","英:/ə'baɪd/ 美:/ə'baɪd/","该版本不支持扩展词库。购买专业版",
3,"abide by","","vt. 遵守(坚持)",
4,"abrupt","英:/ə'brʌpt/ 美:/ə'brʌpt/","该版本不支持扩展词库。购买专业版",
5,"abstract","英:/'æbstrækt,æb'strækt/ 美:/'æbstrækt, æb'strækt/","该版本不支持扩展词库。购买专业版",
6,"abstraction","英:/əb'strækʃ(ə)n/ 美:/æb'strækʃən/","- n. 抽象,抽取
- 抽象化；抽象过程
- 抽象概念；抽象名称
- 抽象性，抽象的特征
- 出神；心不在焉
- 不切实际的想法，空想；幻想的事物
- (艺术上的)抽象主义
- 抽象，抽离；抽离运符
- 偷窃",
7,"accompany","英:/ə'kʌmpənɪ/ 美:/ə'kʌmpəni/","- vt. 陪伴, 陪同
- 伴随…同时发生
- 伴奏

时 态:  
accompanied, accompanying, accompanies",
8,"accretion","英:/ə'kriːʃ(ə)n/ 美:/ə'kriʃən/","- n. 堆积,积累
- 添加生长，自然增长
- 增加部分；附加
- 增加的结果，积成的整体
- 连生；合生；共生
- 粘连
- 冲积层
- 吸积
- 添附(指土地的自然增长)；(因共同继承人或受遗赠人放弃而)多分得的遗产",
9,"acknowledge","英:/ək'nɒlɪdʒ/ 美:/ək'nɑlɪdʒ/","- vt. 承认, 供认
- 告知已收到
- 鸣谢, 感谢

时 态:  
acknowledged, acknowledging, acknowledges 
缩 写:  
ack",
10,"addendum","英:/ə'dendəm/ 美:/ə'dɛndəm/","该版本不支持扩展词库。购买专业版",
11,"addictive","英:/ə'dɪktɪv/ 美:/ə'dɪktɪv/","- adj. 使成瘾的, 上瘾的
- (使人)入迷的，醉心的",
12,"adhere to","","坚持, 依附",
13,"adiabatic","英:/ˌeɪdaɪə'bætɪk/ 美:/ˌædɪə'bætɪk/","adj. 绝热的,隔热的

副 词:  
adiabatically",
14,"adjunct","英:/'ædʒʌŋ(k)t/ 美:/'ædʒʌŋkt/","该版本不支持扩展词库。购买专业版",
15,"admit","英:/əd'mɪt/ 美:/əd'mɪt/","该版本不支持扩展词库。购买专业版",
16,"adopt","英:/ə'dɒpt/ 美:/ə'dɑpt/","该版本不支持扩展词库。购买专业版",
17,"adopted","/ə'dɔptid/","该版本不支持扩展词库。购买专业版",
18,"adversary","英:/'ædvəs(ə)rɪ/ 美:/'ædvɚsɛri/","n. 对手, 敌手",
19,"adversetrend","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
20,"aerial","英:/'eərɪəl/ 美:/'ɛrɪəl/","该版本不支持扩展词库。购买专业版",
21,"aesthetic","英:/iːs'θetɪk/ 美:/ɛs'θɛtɪk/","- adj. 有关美的, 美学的
- 审美的
- 悦目的, 雅致的

副 词:  
aesthetically",
22,"aetiology","英:/ˌiːtɪ'ɒlədʒɪ/ 美:/ˌitɪ'ɑlədʒi/","n. 原因之说明,原因论,病原",
23,"affluent","英:/'æflʊənt/ 美:/'æfluənt/","该版本不支持扩展词库。购买专业版",
24,"affront","英:/ə'frʌnt/ 美:/ə'frʌnt/","该版本不支持扩展词库。购买专业版",
25,"aficionados","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
